Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0002,0.0024,0.1231,0.0963,-0.0744,-0.1444
-0.0001,0.0023,0.1230,0.0963,-0.0831,-0.1619
0.0002,0.0029,0.1232,0.1181,-0.0700,-0.1488
-0.0001,0.0027,0.1236,0.1050,-0.0788,-0.1531
0.0003,0.0031,0.1234,0.1050,-0.0788,-0.1531
0.0000,0.0021,0.1239,0.1050,-0.0656,-0.1619
0.0000,0.0025,0.1236,0.1181,-0.0744,-0.1444
0.0001,0.0023,0.1229,0.1181,-0.0700,-0.1663
0.0001,0.0027,0.1232,0.1006,-0.0831,-0.1444
0.0005,0.0030,0.1234,0.1006,-0.0700,-0.1619
0.0004,0.0034,0.1230,0.1006,-0.0788,-0.1531
0.0002,0.0027,0.1233,0.1094,-0.0831,-0.1575
0.0001,0.0021,0.1232,0.1006,-0.0744,-0.1444
0.0007,0.0025,0.1238,0.1050,-0.0744,-0.1575
0.0009,0.0023,0.1225,0.1138,-0.0744,-0.1488
0.0009,0.0026,0.1233,0.1225,-0.0788,-0.1488
0.0003,0.0036,0.1237,0.1050,-0.0744,-0.1488
0.0000,0.0026,0.1236,0.0963,-0.0831,-0.1663
0.0002,0.0026,0.1230,0.1138,-0.0656,-0.1575
0.0002,0.0026,0.1229,0.1225,-0.0656,-0.1531
-0.0001,0.0027,0.1233,0.1006,-0.0831,-0.1488
-0.0002,0.0023,0.1233,0.1050,-0.0875,-0.1575
0.0004,0.0029,0.1226,0.0919,-0.0831,-0.1531
0.0000,0.0031,0.1238,0.1006,-0.0831,-0.1531
0.0006,0.0024,0.1236,0.1006,-0.0788,-0.1531
-0.0001,0.0023,0.1235,0.1050,-0.0919,-0.1488
0.0004,0.0032,0.1235,0.1094,-0.0656,-0.1400
0.0002,0.0024,0.1235,0.1050,-0.0875,-0.1619
0.0006,0.0029,0.1238,0.1138,-0.0963,-0.1444
-0.0001,0.0020,0.1235,0.1094,-0.0656,-0.1488
0.0001,0.0021,0.1238,0.1138,-0.0788,-0.1444
0.0004,0.0032,0.1236,0.1138,-0.0831,-0.1575
0.0003,0.0031,0.1234,0.1094,-0.0831,-0.1444
0.0005,0.0028,0.1231,0.1094,-0.0700,-0.1488
-0.0001,0.0028,0.1236,0.1050,-0.0613,-0.1531
0.0002,0.0027,0.1235,0.1094,-0.0700,-0.1444
0.0004,0.0026,0.1237,0.1138,-0.0788,-0.1356
0.0004,0.0026,0.1235,0.1181,-0.0700,-0.1575
0.0011,0.0024,0.1236,0.1094,-0.0875,-0.1488
0.0004,0.0032,0.1232,0.1225,-0.0831,-0.1488
0.0002,0.0029,0.1232,0.1050,-0.0700,-0.1575
0.0001,0.0032,0.1238,0.1138,-0.0963,-0.1488
0.0001,0.0032,0.1234,0.1050,-0.0744,-0.1488
0.0005,0.0025,0.1232,0.1138,-0.0700,-0.1619
0.0010,0.0021,0.1230,0.1050,-0.0788,-0.1488
-0.0149,0.0028,0.1235,0.1094,-0.0656,-0.1531
0.0004,0.0031,0.1240,0.1050,-0.0744,-0.1531
0.0006,0.0026,0.1232,0.1050,-0.0788,-0.1488
0.0001,0.0024,0.1239,0.1225,-0.0788,-0.1531
0.0007,0.0025,0.1234,0.1006,-0.0831,-0.1488
0.0006,0.0028,0.1232,0.1006,-0.0525,-0.1575
0.0002,0.0023,0.1234,0.1050,-0.0831,-0.1400
0.0007,0.0027,0.1234,0.1050,-0.0613,-0.1488
0.0009,0.0021,0.1231,0.1050,-0.0788,-0.1488
-0.0005,0.0026,0.1235,0.1094,-0.0700,-0.1575
-0.0001,0.0027,0.1238,0.0875,-0.0788,-0.1488
-0.0001,0.0030,0.1235,0.1269,-0.0525,-0.1619
0.0004,0.0025,0.1233,0.0963,-0.0656,-0.1531
0.0006,0.0023,0.1232,0.1050,-0.0700,-0.1619
0.0007,0.0027,0.1235,0.1138,-0.0744,-0.1575
0.0001,0.0026,0.1229,0.1138,-0.0700,-0.1619
0.0001,0.0024,0.1235,0.1138,-0.0788,-0.1531
0.0154,0.0026,0.1227,0.1006,-0.0744,-0.1575
0.0004,0.0030,0.1238,0.1006,-0.0613,-0.1444
0.0002,0.0035,0.1232,0.1050,-0.0875,-0.1619
0.0007,0.0023,0.1234,0.1181,-0.0700,-0.1444
0.0003,0.0034,0.1229,0.1050,-0.0700,-0.1488
0.0003,0.0027,0.1230,0.1094,-0.0788,-0.1488
0.0005,0.0034,0.1235,0.1006,-0.0963,-0.1531
0.0005,0.0029,0.1233,0.1094,-0.0744,-0.1619
0.0002,0.0029,0.1238,0.1050,-0.0919,-0.1575
0.0001,0.0024,0.1231,0.1050,-0.0744,-0.1444
0.0006,0.0028,0.1228,0.1181,-0.0831,-0.1531
-0.0001,0.0034,0.1231,0.1006,-0.0613,-0.1531
0.0000,0.0028,0.1236,0.0919,-0.0831,-0.1488
-0.0005,0.0026,0.1232,0.1094,-0.0700,-0.1531
0.0003,0.0033,0.1235,0.1050,-0.0744,-0.1488
0.0004,0.0026,0.1237,0.1050,-0.0744,-0.1488
0.0008,0.0031,0.1235,0.0963,-0.0963,-0.1663
0.0002,0.0032,0.1237,0.1138,-0.0744,-0.1488
-0.0002,0.0029,0.1237,0.1138,-0.0744,-0.1575
0.0006,0.0025,0.1240,0.1050,-0.0700,-0.1531
0.0007,0.0026,0.1234,0.1094,-0.0831,-0.1444
0.0002,0.0032,0.1229,0.1006,-0.0788,-0.1575
0.0002,0.0029,0.1233,0.1050,-0.0744,-0.1531
0.0003,0.0033,0.1238,0.1225,-0.0919,-0.1531
0.0007,0.0028,0.1236,0.1050,-0.0788,-0.1488
0.0000,0.0029,0.1236,0.1138,-0.0700,-0.1488
-0.0001,0.0027,0.1230,0.1050,-0.0656,-0.1575
0.0004,0.0030,0.1229,0.1138,-0.0744,-0.1531
-0.0001,0.0030,0.1229,0.1050,-0.0744,-0.1488
0.0001,0.0028,0.1233,0.1094,-0.0744,-0.1531
0.0001,0.0034,0.1234,0.1006,-0.0788,-0.1400
0.0004,0.0035,0.1233,0.1006,-0.0744,-0.1488
0.0002,0.0027,0.1227,0.1094,-0.0788,-0.1531
0.0009,0.0023,0.1230,0.1094,-0.0875,-0.1488
0.0004,0.0034,0.1236,0.1050,-0.0656,-0.1488
0.0010,0.0031,0.1239,0.1181,-0.0788,-0.1531
0.0003,0.0028,0.1233,0.1006,-0.0919,-0.1531
